GZ1,Acquired data,1,5
RI,LALS,RALS,DP,IP
1,1,1,1,1
68060,68060,68060,68060,68060
0,0,0,0,0
316,68376,136436,204496,272556
0,0,0,0,0
-0.842359542846680,189.067092895507812,192.133397420247405,9.934803009033203,42.047519683837891
-0.794805218776067,189.066396077473968,192.133295694986970,9.941999753316244,42.057322184244789
-0.742217709620794,189.065724690755218,192.133193969726562,9.944076220194498,42.067771911621094
-0.693430264790853,189.063695271809905,192.133127848307282,9.943490028381348,42.077326456705727
-0.650975694259008,189.060791015625000,192.133061726888030,9.937249501546225,42.085535685221352
-0.615755086143812,189.058395385742188,192.132995605468750,9.934633255004883,42.092728932698570
-0.588533714413643,189.056060791015625,192.132960001627595,9.940356254577637,42.099348704020180
-0.566179921229680,189.053395589192718,192.132893880208343,9.944286346435547,42.105422973632812
-0.548192188143730,189.051427205403655,192.132893880208343,9.943586349487305,42.110623677571617
-0.533838108181953,189.051493326822907,192.133361816406250,9.939936319986979,42.115112304687500
-0.524050583442052,189.052098592122405,192.134628295898438,9.937673250834147,42.119723002115883
-0.513029277324677,189.052795410156250,192.136027018229157,9.940346399943033,42.124752044677734
-0.502042149504026,189.053629557291657,192.137563069661468,9.939119656880697,42.129502614339195
-0.492854461073875,189.054560343424470,192.139165242513030,9.937559763590494,42.133684794108071
-0.485333462556203,189.055394490559905,192.140396118164062,9.938976287841797,42.137386322021484
-0.479312613606453,189.055857340494782,192.140797932942718,9.939453125000000,42.141038258870445
-0.475791479150454,189.056264241536468,192.141092936197907,9.940096537272135,42.144715627034508
-0.472070872783661,189.056630452473968,192.141331990559905,9.944306373596191,42.148312886555992
-0.467449853817622,189.056991577148438,192.141525268554688,9.948663393656412,42.151822408040367
-0.464062238732974,189.057159423828125,192.141662597656250,9.949329694112143,42.155382792154946
-0.463307872414589,189.057261149088532,192.141794840494782,9.952003161112467,42.158929189046226
-0.463520079851151,189.057327270507812,192.141896565755218,9.949196497599283,42.162272135416664
-0.460866317152977,189.057261149088532,192.141927083333343,9.945506413777670,42.165191650390625
-0.460044895609220,189.057225545247405,192.142196655273438,9.946370124816895,42.167719523111977
-0.461757212877274,189.057459513346345,192.142995198567718,9.952499707539877,42.170318603515625
-0.464203536510468,189.057729085286468,192.143895467122405,9.954526583353678,42.173132578531899
-0.465582723418872,189.058064778645843,192.144658406575530,9.950956662495932,42.175732930501304
-0.465628330906232,189.058430989583343,192.145462036132812,9.948423385620117,42.177842458089195
-0.466640671094259,189.058761596679688,192.145960489908845,9.949079831441244,42.179969787597656
-0.467019453644753,189.058558146158845,192.145294189453125,9.951162974039713,42.182776133219399
-0.464132194717725,189.057825724283845,192.143992106119782,9.956766446431478,42.185949961344399
-0.463144361972809,189.057027180989593,192.142690022786468,9.957339604695639,42.188794453938804
-0.462957113981247,189.056167602539062,192.141499837239593,9.956649780273438,42.191169738769531
-0.463969434301058,189.055358886718750,192.140233357747405,9.955300013224283,42.193372090657554
-0.464615081747373,189.054824829101562,192.139424641927093,9.952553113301596,42.195659637451172
-0.462327529986699,189.054758707682282,192.139531453450530,9.950583140055338,42.197995503743492
-0.459339981277784,189.054896036783845,192.139628092447907,9.951383272806803,42.200303395589195
